model,pathway,region,variables,unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2060,2070,2080,2090,2100
image,SSP2-RCP26,GLO,Efficiency|Nickel laterite|Tailings,%,1.000,0.944,0.894,0.849,0.810,0.776,0.746,0.718,0.694,0.694,0.694,0.694,0.694,0.694
image,SSP2-RCP26,GLO,Production|Cobalt|From copper mining,%,0.282,0.613,0.689,0.565,0.463,0.411,0.412,0.445,0.475,0.475,0.475,0.475,0.475,0.475
image,SSP2-RCP26,GLO,Production|Cobalt|From nickel sulphide mining,%,0.055,0.066,0.057,0.047,0.039,0.037,0.035,0.038,0.040,0.040,0.040,0.040,0.040,0.040
image,SSP2-RCP26,GLO,Production|Cobalt|From nickel laterite mining,%,0.186,0.165,0.118,0.093,0.079,0.076,0.071,0.074,0.078,0.078,0.078,0.078,0.078,0.078
image,SSP2-RCP26,GLO,Production|Cobalt|From recycling 1,%,0.223,0.063,0.053,0.132,0.194,0.223,0.226,0.207,0.189,0.189,0.189,0.189,0.189,0.189
image,SSP2-RCP26,GLO,Production|Cobalt|From recycling 2,%,0.223,0.063,0.053,0.132,0.194,0.223,0.226,0.207,0.189,0.189,0.189,0.189,0.189,0.189
image,SSP2-RCP26,GLO,Production|Cobalt|From cobalt mining,%,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
image,SSP2-RCP26,GLO,Production|Cobalt|From zinc mining,%,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
